,geo_area,sdoh_index
0,Beaver County,3.2290229885057475
1,Box Elder County,2.7929443741859976
2,Cache County,3.0533180963496074
3,Carbon County,3.7238151834794238
4,Daggett County,3.0
5,Davis County,2.3223629641251224
6,Duchesne County,3.4060171796089262
7,Emery County,2.845448323066393
8,Garfield County,2.9257247856267865
9,Grand County,3.2
10,Iron County,3.801866807353598
11,Juab County,3.103208758021895
12,Kane County,2.2139910572623682
13,Millard County,3.3360617031323785
14,Morgan County,1.9863940903624806
15,Piute County,3.292929292929293
16,Rich County,2.5574924860455135
17,Salt Lake County,3.130148426859136
18,San Juan County,3.9789372352714674
19,Sanpete County,3.1360161654907874
20,Sevier County,3.0354040212443096
21,Summit County,2.4130727285603
22,Tooele County,2.6203910657701526
23,Uintah County,3.487829155255951
24,Utah County,2.873514344696078
25,Wasatch County,2.9729872808525264
26,Washington County,3.208344448925148
27,Wayne County,3.02761219595752
28,Weber County,3.196724177124895
29,Bear River MCD,2.969222341009355
30,Central MCD,3.135992244709533
31,Mountainland MCD,2.8514920144244944
32,Southeast MCD,3.5460530689987477
33,Southwest MCD,3.298364029981977
34,Uintah Basin MCD,3.4497307444992766
35,Wasatch MCD,2.9567012786280933
36,State of Utah,2.9882517578303354
37,<<end>>,
