,pop_min_age,pop_max_age,pop_sex,Anxiety,Arthritis,Asthma,CAD,COPD,Depression,Diabetes,Hyperlipidemia,Hypertension,Osteoporosis,Smoking,Obesity
0,0,0.0,F,4.464111059895184,4.464111059895184,106.33865047659211,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,0.0,0.0
1,0,0.0,M,4.464111059895184,4.464111059895184,53.74796206856181,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,0.0,83.33333333333333
2,1,4.0,F,4.464111059895184,4.464111059895184,106.33865047659211,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,0.0,166.66666666666666
3,1,4.0,M,4.464111059895184,4.464111059895184,53.74796206856181,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,0.0,166.66666666666666
4,5,10.0,F,150.0,4.464111059895184,106.33865047659211,4.464111059895184,4.464111059895184,150.0,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,0.0,166.66666666666666
5,5,10.0,M,100.0,4.464111059895184,53.74796206856181,4.464111059895184,4.464111059895184,100.0,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,0.0,166.66666666666666
6,11,21.0,F,350.0,4.464111059895184,106.33865047659211,4.464111059895184,4.464111059895184,350.0,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,84.14699509993802,166.66666666666666
7,11,21.0,M,250.0,4.464111059895184,53.74796206856181,4.464111059895184,4.464111059895184,250.0,4.464111059895184,4.464111059895184,4.464111059895184,4.464111059895184,104.83989603857223,166.66666666666666
8,22,29.0,F,259.5703909980711,53.75208920816516,106.33865047659211,3.4951230243014337,28.63997934772741,259.5703909980711,4.464111059895184,50.28280847583548,48.72710618199313,0.0,84.14699509993802,217.9172479501007
9,22,29.0,M,179.38774544634276,67.00509980670616,53.74796206856181,11.398940564238085,29.3440639550682,179.38774544634276,5.549002142645803,69.23733696285964,127.6193546746528,0.0,104.83989603857223,194.28618518734848
